__metadata,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,INVENTORY_OPENING_BALANCE,UNIT
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1750')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1750')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1750,1750,JJ,02,11,02/11,7,31,02,JJ-F14,1kg Raisin Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1751')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1751')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1751,1751,JJ,02,11,02/11,7,31,02,JJ-F15,1kg Original Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1752')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1752')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1752,1752,JJ,02,11,02/11,7,31,02,JJ-F16,1kg Mixed Fruit Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1753')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1753')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1753,1753,JJ,02,11,02/11,7,31,02N,JJ-F01,500g Nut Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1754')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1754')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1754,1754,JJ,02,11,02/11,7,31,02N,JJ-F02,500g Blueberry Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1755')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1755')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1755,1755,JJ,02,11,02/11,7,31,02N,JJ-F03,500g Strawberry Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1756')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1756')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1756,1756,JJ,02,11,02/11,7,31,02N,JJ-F04,500g Raisin Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1757')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1757')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1757,1757,JJ,02,11,02/11,7,31,02N,JJ-F05,500g Original Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1758')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1758')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1758,1758,JJ,02,11,02/11,7,31,02N,JJ-F06,500g Mixed Fruit Muesli,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1759')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Inventory('.1~1759')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Inventory'}",.1~1759,1759,JJ,02,11,02/11,7,31,02N,JJ-F11,1kg Nut Muesli,0,ST
